Nr,level,question,answer,german,english,case,complement,,
1,1,the memory of,an,die Erinnerung,,,,,31
2,1,the belief in,an,der Glaube,,,,,
3,1,the answer to,auf,die Antwort,,,,,
4,1,the concentration on,auf,die Konzentration,,,,,
5,1,the hope for,auf,die Hoffnung,,,,,
6,1,the translation from,aus,die Übersetzung,,,,,
7,1,the decision for,für,die Entscheidung,,,,,
8,1,the apology for,für,die Entschuldigung,,,,,
9,1,the concern for,für,die Sorge,,,,,
10,1,the decision against,gegen,die Entscheidung,,,,,
11,1,the protest against,gegen,der Protest,,,,,
12,1,the translation into,in,die Übersetzung,,,,,
13,1,the discussion with,mit,die Diskussion,,,,,
14,1,the game with,mit,das Spiel,,,,,
15,1,the conversation with,mit,das Gespräch,,,,,
16,1,the beginning with,mit,der Anfang,,,,,
17,1,the start with,mit,der Beginn,,,,,
18,1,the question about,nach,die Frage,,,,,
19,1,the search for,nach,die Suche,,,,,
20,1,the smell of,nach,der Geruch,,,,,
21,1,the anger about,über,der Ärger,,,,,
22,1,the happiness about,über,das Glück,,,,,
23,1,the discussion about,über,die Diskussion,,,,,
24,1,the conversation about,über,das Gespräch,,,,,
25,1,the request for (something),um,die Bitte,,,,,
26,1,the request to (someone),an,die Bitte,,,X,,
27,1,the concern for,um,die Sorge,,,,,
28,1,the dream of,von,der Traum,,,,,
29,1,the expectation of,von,die Erwartung,,,,,
30,1,the fear of,vor,die Angst,,,,,
31,1,the invitation to,zu,die Einladung,,,,,
32,2,Die Erinnerung _____ den Urlaub bleibt unvergesslich.,an,Die Erinnerung an den Urlaub bleibt unvergesslich.,The memory of the vacation remains unforgettable.,,Erinnerung,,
33,2,Seine Erinnerung _____ die Kindheit ist voller Freude.,an,Seine Erinnerung an die Kindheit ist voller Freude.,His memory of childhood is full of joy.,,Erinnerung,,
34,2,Der Glaube _____ seine Fähigkeiten gab ihm Kraft.,an,Der Glaube an seine Fähigkeiten gab ihm Kraft.,The belief in his abilities gave him strength.,,Glaube,,
35,2,Ihr Glaube _____ das Gute in Menschen ist beeindruckend.,an,Ihr Glaube an das Gute in Menschen ist beeindruckend.,Her belief in the good in people is impressive.,,Glaube,,
36,2,Die Antwort _____ seine Frage war überraschend.,auf,Die Antwort auf seine Frage war überraschend.,The answer to his question was surprising.,,Antwort,,
37,2,Ihre Antwort _____ die Kritik war sehr professionell.,auf,Ihre Antwort auf die Kritik war sehr professionell.,Her response to the criticism was very professional.,,Antwort,,
38,2,Die Konzentration _____ die Aufgabe ist entscheidend.,auf,Die Konzentration auf die Aufgabe ist entscheidend.,Concentration on the task is crucial.,,Konzentration,,
39,2,Ihre Konzentration _____ die Prüfungsvorbereitung war beeindruckend.,auf,Ihre Konzentration auf die Prüfungsvorbereitung war beeindruckend.,Her focus on exam preparation was impressive.,,Konzentration,,
40,2,Die Hoffnung _____ eine bessere Zukunft bleibt bestehen.,auf,Die Hoffnung auf eine bessere Zukunft bleibt bestehen.,The hope for a better future remains.,,Hoffnung,,
41,2,Sie setzt ihre Hoffnung _____ die nächste Generation.,auf,Sie setzt ihre Hoffnung auf die nächste Generation.,She places her hope in the next generation.,,Hoffnung,,
42,2,Die Übersetzung _____ dem Englischen war sehr präzise.,aus,Die Übersetzung aus dem Englischen war sehr präzise.,The translation from English was very precise.,,Übersetzung,,
43,2,Seine Übersetzung _____ dem Spanischen wurde gelobt.,aus,Seine Übersetzung aus dem Spanischen wurde gelobt.,His translation from Spanish was praised.,,Übersetzung,,
44,2,Die Entscheidung _____ den Umzug fiel schwer.,für,Die Entscheidung für den Umzug fiel schwer.,The decision to move was difficult.,,Entscheidung,,
45,2,Ihre Entscheidung _____ das Studium wurde gut überlegt.,für,Ihre Entscheidung für das Studium wurde gut überlegt.,Her decision to study was well-considered.,,Entscheidung,,
46,2,Die Entschuldigung _____ das Missverständnis wurde akzeptiert.,für,Die Entschuldigung für das Missverständnis wurde akzeptiert.,The apology for the misunderstanding was accepted.,,Entschuldigung,,
47,2,Seine Entschuldigung _____ den Fehler war aufrichtig.,für,Seine Entschuldigung für den Fehler war aufrichtig.,His apology for the mistake was sincere.,,Entschuldigung,,
48,2,Die Sorge _____ ihre Kinder steht bei ihr an erster Stelle.,für,Die Sorge für ihre Kinder steht bei ihr an erster Stelle.,The care for her children comes first for her.,,Sorge,,
49,2,Seine Sorge _____ die Umwelt motiviert ihn zu handeln.,für,Seine Sorge für die Umwelt motiviert ihn zu handeln.,His concern for the environment motivates him to act.,,Sorge,,
50,2,Die Entscheidung _____ den Vorschlag fiel einstimmig aus.,gegen,Die Entscheidung gegen den Vorschlag fiel einstimmig aus.,The decision against the proposal was unanimous.,,Entscheidung,,
51,2,Seine Entscheidung _____ das Angebot überraschte alle.,gegen,Seine Entscheidung gegen das Angebot überraschte alle.,His decision against the offer surprised everyone.,,Entscheidung,,
52,2,Der Protest _____ die neuen Gesetze war laut.,gegen,Der Protest gegen die neuen Gesetze war laut.,The protest against the new laws was loud.,,Protest,,
53,2,Ihr Protest _____ die Änderungen fand große Unterstützung.,gegen,Ihr Protest gegen die Änderungen fand große Unterstützung.,Their protest against the changes found great support.,,Protest,,
54,2,Die Übersetzung _____ mehrere Sprachen ist geplant.,in,Die Übersetzung in mehrere Sprachen ist geplant.,The translation into several languages is planned.,,Übersetzung,,
55,2,Seine Übersetzung _____ das Deutsche war sehr präzise.,in,Seine Übersetzung in das Deutsche war sehr präzise.,His translation into German was very precise.,,Übersetzung,,
56,2,Die Diskussion _____ den Kollegen führte zu neuen Ideen.,mit,Die Diskussion mit den Kollegen führte zu neuen Ideen.,The discussion with the colleagues led to new ideas.,,Diskussion,,
57,2,Seine Diskussion _____ dem Chef war produktiv.,mit,Seine Diskussion mit dem Chef war produktiv.,His discussion with the boss was productive.,,Diskussion,,
58,2,Das Spiel _____ der neuen Strategie war erfolgreich.,mit,Das Spiel mit der neuen Strategie war erfolgreich.,The game with the new strategy was successful.,,Spiel,,
59,2,Ihr Spiel _____ dem Ball faszinierte die Zuschauer.,mit,Ihr Spiel mit dem Ball faszinierte die Zuschauer.,Her game with the ball fascinated the spectators.,,Spiel,,
60,2,Das Gespräch _____ dem Lehrer verlief positiv.,mit,Das Gespräch mit dem Lehrer verlief positiv.,The conversation with the teacher went positively.,,Gespräch,,
61,2,Ihr Gespräch _____ der Nachbarin dauerte lange.,mit,Ihr Gespräch mit der Nachbarin dauerte lange.,Her conversation with the neighbor lasted a long time.,,Gespräch,,
62,2,Der Anfang _____ dem neuen Projekt war herausfordernd.,mit,Der Anfang mit dem neuen Projekt war herausfordernd.,The beginning with the new project was challenging.,,Anfang,,
63,2,Ihr Anfang _____ dem Sport war sehr erfolgreich.,mit,Ihr Anfang mit dem Sport war sehr erfolgreich.,Her start with the sport was very successful.,,Anfang,,
64,2,Der Beginn _____ der neuen Software verlief reibungslos.,mit,Der Beginn mit der neuen Software verlief reibungslos.,The start with the new software went smoothly.,,Beginn,,
65,2,Sein Beginn _____ dem Training war motivierend.,mit,Sein Beginn mit dem Training war motivierend.,His start with the training was motivating.,,Beginn,,
66,2,Die Frage _____ der Zukunft des Projekts bleibt offen.,nach,Die Frage nach der Zukunft des Projekts bleibt offen.,The question about the project's future remains open.,,Frage,,
67,2,Seine Frage _____ den Details wurde klar beantwortet.,nach,Seine Frage nach den Details wurde klar beantwortet.,His question about the details was answered clearly.,,Frage,,
68,2,Die Suche _____ einem passenden Kandidaten dauert an.,nach,Die Suche nach einem passenden Kandidaten dauert an.,The search for a suitable candidate continues.,,Suche,,
69,2,Ihre Suche _____ einer neuen Wohnung war erfolgreich.,nach,Ihre Suche nach einer neuen Wohnung war erfolgreich.,Her search for a new apartment was successful.,,Suche,,
70,2,Der Geruch _____ Kaffee machte ihn wach.,nach,Der Geruch nach Kaffee machte ihn wach.,The smell of coffee woke him up.,,Geruch,,
71,2,Der Geruch _____ frischer Farbe war stark.,nach,Der Geruch nach frischer Farbe war stark.,The smell of fresh paint was strong.,,Geruch,,
72,2,Der Ärger _____ die neue Regelung wächst täglich.,über,Der Ärger über die neue Regelung wächst täglich.,The anger about the new regulation grows daily.,,Ärger,,
73,2,Ihr Ärger _____ die Verzögerungen war deutlich zu spüren.,über,Ihr Ärger über die Verzögerungen war deutlich zu spüren.,Her anger about the delays was clearly noticeable.,,Ärger,,
74,2,Ihr Glück _____ die gute Nachricht war ansteckend.,über,Ihr Glück über die gute Nachricht war ansteckend.,Her happiness about the good news was contagious.,,Glück,,
75,2,Das Glück _____ den gelungenen Abschluss konnte er nicht verbergen.,über,Das Glück über den gelungenen Abschluss konnte er nicht verbergen.,He could not hide his happiness about the successful conclusion.,,Glück,,
76,2,Die Diskussion _____ die Reformen war konstruktiv.,über,Die Diskussion über die Reformen war konstruktiv.,The discussion about the reforms was constructive.,,Diskussion,,
77,2,Ihre Diskussion _____ das Projekt führte zu neuen Ideen.,über,Ihre Diskussion über das Projekt führte zu neuen Ideen.,Their discussion about the project led to new ideas.,,Diskussion,,
78,2,Das Gespräch _____ die neuen Regeln verlief positiv.,über,Das Gespräch über die neuen Regeln verlief positiv.,The conversation about the new rules went positively.,,Gespräch,,
79,2,Ihr Gespräch _____ die Finanzen dauerte länger als erwartet.,über,Ihr Gespräch über die Finanzen dauerte länger als erwartet.,Their conversation about finances lasted longer than expected.,,Gespräch,,
80,2,Ihre Bitte _____ Hilfe wurde sofort erhört.,um,Ihre Bitte um Hilfe wurde sofort erhört.,Her request for help was immediately granted.,,Bitte,,
81,2,Er richtete eine Bitte _____ Geduld an das Publikum.,um,Er richtete eine Bitte um Geduld an das Publikum.,He addressed a request for patience to the audience.,,Bitte,,
82,2,Die Sorge _____ den Erfolg des Projekts ist verständlich.,um,Die Sorge um den Erfolg des Projekts ist verständlich.,The concern for the project's success is understandable.,,Sorge,,
83,2,Seine Sorge _____ die Zukunft des Unternehmens ist groß.,um,Seine Sorge um die Zukunft des Unternehmens ist groß.,His concern for the company's future is significant.,,Sorge,,
84,2,Der Traum _____ einer besseren Welt verbindet uns alle.,von,Der Traum von einer besseren Welt verbindet uns alle.,The dream of a better world connects us all.,,Traum,,
85,2,Ihr Traum _____ einem eigenen Haus wurde wahr.,von,Ihr Traum von einem eigenen Haus wurde wahr.,Her dream of owning a house came true.,,Traum,,
86,2,Die Erwartung _____ hohen Ergebnissen setzte alle unter Druck.,von,Die Erwartung von hohen Ergebnissen setzte alle unter Druck.,The expectation of high results put everyone under pressure.,,Erwartung,,
87,2,Ihre Erwartung _____ einer schnellen Antwort wurde erfüllt.,von,Ihre Erwartung von einer schnellen Antwort wurde erfüllt.,Her expectation of a quick response was met.,,Erwartung,,
88,2,Die Angst _____ Veränderung hielt ihn zurück.,vor,Die Angst vor Veränderung hielt ihn zurück.,The fear of change held him back.,,Angst,,
89,2,Ihre Angst _____ dem Scheitern war unbegründet.,vor,Ihre Angst vor dem Scheitern war unbegründet.,Her fear of failure was unfounded.,,Angst,,
90,2,Die Einladung _____ der Feier wurde freudig angenommen.,zu,Die Einladung zu der Feier wurde freudig angenommen.,The invitation to the party was happily accepted.,,Einladung,,
91,2,Ihre Einladung _____ dem Event überraschte alle.,zu,Ihre Einladung zu dem Event überraschte alle.,Her invitation to the event surprised everyone.,,Einladung,,
92,3,the work as,als,die Arbeit,,,,,
93,3,the thought of,an,der Gedanke,,,,,
94,3,the change to,an,die Änderung,,,,,
95,3,the guilt for,an,die Schuld,,,,,
96,3,the application to,auf,die Bewerbung,,,,,
97,3,the reaction to,auf,die Reaktion,,,,,
98,3,the trust in,auf,das Vertrauen,,,,,
99,3,the pride in,auf,der Stolz,,,,,
100,3,the call to,bei,der Anruf,,,,,
101,3,the work at,bei,die Arbeit,,,,,
102,3,the complaint to,bei,die Beschwerde,,,,,
103,3,the thanks for,für,der Dank,,,,,
104,3,the fight for,für,der Kampf,,,,,
105,3,the fight against,gegen,der Kampf,,,,,
106,3,the demonstration against,gegen,die Demonstration,,,,,
107,3,the debate with,mit,die Debatte,,,,,
108,3,the friendship with,mit,die Freundschaft,,,,,
109,3,the scent of,nach,der Duft,,,,,
110,3,the joy about,über,die Freude,,,,,
111,3,the argument about,über,der Streit,,,,,
112,3,the grief about,über,die Trauer,,,,,
113,3,the rage about,über,die Wut,,,,,
114,3,the report about,über,der Bericht,,,,,
115,3,the fear for,um,die Angst,,,,,
116,3,the effort for,um,das Bemühen,,,,,
117,3,the application for,um,die Bewerbung,,,,,
118,3,the fight for,um,der Kampf,,,,,
119,3,the fear of,vor,die Furcht,,,,,
120,3,the congratulations on,zu,die Gratulation,,,,,
121,3,the ability to,zu,die Fähigkeit,,,,,
122,4,Die Arbeit _____ Lehrer ist erfüllend.,als,Die Arbeit als Lehrer ist erfüllend.,The work as a teacher is fulfilling.,,Arbeit,,
123,4,Seine Arbeit _____ Ingenieur ist sehr anspruchsvoll.,als,Seine Arbeit als Ingenieur ist sehr anspruchsvoll.,His work as an engineer is very demanding.,,Arbeit,,
124,4,Der Gedanke _____ die Prüfung macht ihn nervös.,an,Der Gedanke an die Prüfung macht ihn nervös.,The thought of the exam makes him nervous.,,Gedanke,,
125,4,Ihr Gedanke _____ die gemeinsame Zeit machte sie glücklich.,an,Ihr Gedanke an die gemeinsame Zeit machte sie glücklich.,Her thought of the time together made her happy.,,Gedanke,,
126,4,Die Änderung _____ den Vorschlägen wurde akzeptiert.,an,Die Änderung an den Vorschlägen wurde akzeptiert.,The change to the proposals was accepted.,,Änderung,,
127,4,Die Änderung _____ der Software hat das Problem gelöst.,an,Die Änderung an der Software hat das Problem gelöst.,The change to the software solved the problem.,,Änderung,,
128,4,Die Schuld _____ dem Fehler wurde auf ihn geschoben.,an,Die Schuld an dem Fehler wurde auf ihn geschoben.,The blame for the mistake was put on him.,,Schuld,,
129,4,Er übernahm die Schuld _____ dem Missverständnis.,an,Er übernahm die Schuld an dem Missverständnis.,He took the blame for the misunderstanding.,,Schuld,,
130,4,Die Bewerbung _____ diese Stelle war ein Erfolg.,auf,Die Bewerbung auf diese Stelle war ein Erfolg.,The application for this position was a success.,,Bewerbung,,
131,4,Seine Bewerbung _____ das Praktikum wurde akzeptiert.,auf,Seine Bewerbung auf das Praktikum wurde akzeptiert.,His application for the internship was accepted.,,Bewerbung,,
132,4,Die Reaktion _____ die neuen Regeln war positiv.,auf,Die Reaktion auf die neuen Regeln war positiv.,The reaction to the new rules was positive.,,Reaktion,,
133,4,Seine Reaktion _____ den Vorschlag war unerwartet.,auf,Seine Reaktion auf den Vorschlag war unerwartet.,His reaction to the proposal was unexpected.,,Reaktion,,
134,4,Das Vertrauen _____ seine Erfahrung ist groß.,auf,Das Vertrauen auf seine Erfahrung ist groß.,The trust in his experience is strong.,,Vertrauen,,
135,4,Ihr Vertrauen _____ das Team motiviert alle.,auf,Ihr Vertrauen auf das Team motiviert alle.,Her trust in the team motivates everyone.,,Vertrauen,,
136,4,Der Stolz _____ ihre Leistungen war deutlich sichtbar.,auf,Der Stolz auf ihre Leistungen war deutlich sichtbar.,The pride in her achievements was clearly visible.,,Stolz,,
137,4,Er zeigte Stolz _____ sein Team nach dem Sieg.,auf,Er zeigte Stolz auf sein Team nach dem Sieg.,He showed pride in his team after the victory.,,Stolz,,
138,4,Der Anruf _____ der Hotline brachte schnelle Hilfe.,bei,Der Anruf bei der Hotline brachte schnelle Hilfe.,The call to the hotline brought quick help.,,Anruf,,
139,4,Sein Anruf _____ der Firma wurde freundlich beantwortet.,bei,Sein Anruf bei der Firma wurde freundlich beantwortet.,His call to the company was answered kindly.,,Anruf,,
140,4,Die Arbeit _____ diesem Unternehmen ist sehr anspruchsvoll.,bei,Die Arbeit bei diesem Unternehmen ist sehr anspruchsvoll.,The work at this company is very demanding.,,Arbeit,,
141,4,Seine Arbeit _____ der Bank dauert schon zehn Jahre.,bei,Seine Arbeit bei der Bank dauert schon zehn Jahre.,His work at the bank has already lasted ten years.,,Arbeit,,
142,4,Die Beschwerde _____ der Verwaltung wurde ignoriert.,bei,Die Beschwerde bei der Verwaltung wurde ignoriert.,The complaint to the administration was ignored.,,Beschwerde,,
143,4,Seine Beschwerde _____ der Leitung führte zu einer Lösung.,bei,Seine Beschwerde bei der Leitung führte zu einer Lösung.,His complaint to the management led to a solution.,,Beschwerde,,
144,4,Der Dank _____ ihre Hilfe war ehrlich und herzlich.,für,Der Dank für ihre Hilfe war ehrlich und herzlich.,The gratitude for her help was sincere and heartfelt.,,Dank,,
145,4,Sein Dank _____ die Unterstützung wurde mit einem Geschenk ausgedrückt.,für,Sein Dank für die Unterstützung wurde mit einem Geschenk ausgedrückt.,His gratitude for the support was expressed with a gift.,,Dank,,
146,4,Der Kampf _____ soziale Gerechtigkeit ist noch nicht beendet.,für,Der Kampf für soziale Gerechtigkeit ist noch nicht beendet.,The fight for social justice is not yet over.,,Kampf,,
147,4,Ihr Kampf _____ bessere Arbeitsbedingungen hat sich gelohnt.,für,Ihr Kampf für bessere Arbeitsbedingungen hat sich gelohnt.,Her fight for better working conditions paid off.,,Kampf,,
148,4,Der Kampf _____ Diskriminierung dauert an.,gegen,Der Kampf gegen Diskriminierung dauert an.,The fight against discrimination continues.,,Kampf,,
149,4,Ihr Kampf _____ die Ungerechtigkeit inspirierte viele.,gegen,Ihr Kampf gegen die Ungerechtigkeit inspirierte viele.,Her fight against injustice inspired many.,,Kampf,,
150,4,Die Demonstration _____ den Krieg zog viele Menschen an.,gegen,Die Demonstration gegen den Krieg zog viele Menschen an.,The demonstration against the war attracted many people.,,Demonstration,,
151,4,Ihre Demonstration _____ die Umweltzerstörung war friedlich.,gegen,Ihre Demonstration gegen die Umweltzerstörung war friedlich.,Their demonstration against environmental destruction was peaceful.,,Demonstration,,
152,4,Die Debatte _____ dem Experten war aufschlussreich.,mit,Die Debatte mit dem Experten war aufschlussreich.,The debate with the expert was insightful.,,Debatte,,
153,4,Ihre Debatte _____ dem Politiker war spannend.,mit,Ihre Debatte mit dem Politiker war spannend.,Her debate with the politician was exciting.,,Debatte,,
154,4,Die Freundschaft _____ ihr war ihm sehr wichtig.,mit,Die Freundschaft mit ihr war ihm sehr wichtig.,The friendship with her was very important to him.,,Freundschaft,,
155,4,Seine Freundschaft _____ dem Nachbarn wurde immer enger.,mit,Seine Freundschaft mit dem Nachbarn wurde immer enger.,His friendship with the neighbor grew closer.,,Freundschaft,,
156,4,Der Duft _____ frischem Brot erfüllte den Raum.,nach,Der Duft nach frischem Brot erfüllte den Raum.,The scent of fresh bread filled the room.,,Duft,,
157,4,Der Duft _____ Blumen erinnerte sie an den Frühling.,nach,Der Duft nach Blumen erinnerte sie an den Frühling.,The scent of flowers reminded her of spring.,,Duft,,
158,4,Die Freude _____ den Gewinn war riesig.,über,Die Freude über den Gewinn war riesig.,The joy about the win was enormous.,,Freude,,
159,4,Seine Freude _____ die Überraschung war nicht zu übersehen.,über,Seine Freude über die Überraschung war nicht zu übersehen.,His joy about the surprise was unmistakable.,,Freude,,
