Nr,level,question,answer,german,person,case,english,answer_2,sentence_2
553,13,"Die Leute, _____ wir geholfen haben, sind dankbar.",denen,"Die Leute, denen wir geholfen haben, sind dankbar.",Feminine,Dative,,,
554,13,"Der Mann, _____ ich einen Stift geliehen habe, hat ihn zurückgegeben.",dem,"Der Mann, dem ich einen Stift geliehen habe, hat ihn zurückgegeben.",Masculine,Dative,,,
555,13,"Der Mann, _____ Haus verkauft wurde, ist traurig.",dessen,"Der Mann, dessen Haus verkauft wurde, ist traurig.",Masculine,Genitive,,,
556,13,"Die Frau, _____ Katze verschwunden ist, sucht sie.",deren,"Die Frau, deren Katze verschwunden ist, sucht sie.",Feminine,Genitive,,,
557,13,"Das Auto, _____ Besitzer ich kenne, ist alt.",dessen,"Das Auto, dessen Besitzer ich kenne, ist alt.",Neutral,Genitive,,,
558,13,"Die Kinder, _____ Spielsachen kaputt sind, weinen.",deren,"Die Kinder, deren Spielsachen kaputt sind, weinen.",Feminine,Genitive,,,
559,13,"Der Hund, _____ Besitzer verreist ist, bellt viel.",dessen,"Der Hund, dessen Besitzer verreist ist, bellt viel.",Masculine,Genitive,,,
560,13,"Die Blume, _____ Duft so angenehm ist, ist schön.",deren,"Die Blume, deren Duft so angenehm ist, ist schön.",Feminine,Genitive,,,
561,13,"Das Haus, _____ Fenster offen sind, gehört mir.",dessen,"Das Haus, dessen Fenster offen sind, gehört mir.",Neutral,Genitive,,,
562,13,"Die Frau, _____ Meinung gefragt wurde, ist klug.",deren,"Die Frau, deren Meinung gefragt wurde, ist klug.",Feminine,Genitive,,,
563,13,"Die Freunde, _____ Namen ich vergessen habe, rufen mich an.",deren,"Die Freunde, deren Namen ich vergessen habe, rufen mich an.",Feminine,Genitive,,,
564,13,"Der Lehrer, _____ Erklärung hilfreich war, wurde gelobt.",dessen,"Der Lehrer, dessen Erklärung hilfreich war, wurde gelobt.",Masculine,Genitive,,,
565,13,"Das Buch, _____ Autor berühmt ist, wird viel gelesen.",dessen,"Das Buch, dessen Autor berühmt ist, wird viel gelesen.",Neutral,Genitive,,,
566,13,"Die Männer, _____ Autos auf dem Parkplatz stehen, kommen bald.",deren,"Die Männer, deren Autos auf dem Parkplatz stehen, kommen bald.",Feminine,Genitive,,,
567,13,"Die Frau, _____ Tasche gestohlen wurde, hat die Polizei gerufen.",deren,"Die Frau, deren Tasche gestohlen wurde, hat die Polizei gerufen.",Feminine,Genitive,,,
568,13,"Der Mann, _____ Arbeit wir bewundern, ist sehr klug.",dessen,"Der Mann, dessen Arbeit wir bewundern, ist sehr klug.",Masculine,Genitive,,,
569,13,"Das Kind, _____ Spielzeug ich kaputt gemacht habe, weint jetzt.",dessen,"Das Kind, dessen Spielzeug ich kaputt gemacht habe, weint jetzt.",Neutral,Genitive,,,
570,13,"Die Familie, _____ Haus renoviert wurde, ist zufrieden.",deren,"Die Familie, deren Haus renoviert wurde, ist zufrieden.",Feminine,Genitive,,,
571,13,"Der Arzt, _____ Praxis geschlossen ist, arbeitet jetzt woanders.",dessen,"Der Arzt, dessen Praxis geschlossen ist, arbeitet jetzt woanders.",Masculine,Genitive,,,
572,13,"Die Frau, _____ Mann ein berühmter Künstler ist, ist sehr freundlich.",deren,"Die Frau, deren Mann ein berühmter Künstler ist, ist sehr freundlich.",Feminine,Genitive,,,
573,13,"Die Kinder, _____ Eltern verreist sind, bleiben bei den Großeltern.",deren,"Die Kinder, deren Eltern verreist sind, bleiben bei den Großeltern.",Feminine,Genitive,,,
574,13,"Der Junge, _____ Fahrrad gestohlen wurde, ist traurig.",dessen,"Der Junge, dessen Fahrrad gestohlen wurde, ist traurig.",Masculine,Genitive,,,
575,13,"Das Buch, _____ Titel ich mich nicht erinnere, war spannend.",an dessen,"Das Buch, an dessen Titel ich mich nicht erinnere, war spannend.",Neutral,Genitive,,,
576,14,"Das ist das Fahrrad, _____ schnell fährt.",das,"Das ist das Fahrrad, das schnell fährt.",Neutral,Nominative,,,
577,14,"Die Reise, _____ wir geplant haben, ist teuer.",die,"Die Reise, die wir geplant haben, ist teuer.",Feminine,Accusative,,,
578,14,"Der Film, _____ im Kino läuft, ist interessant.",der,"Der Film, der im Kino läuft, ist interessant.",Masculine,Nominative,,,
579,14,"Die Wohnung, _____ wir gemietet haben, ist klein.",die,"Die Wohnung, die wir gemietet haben, ist klein.",Feminine,Accusative,,,
580,14,"Das Problem, _____ wir lösen müssen, ist schwierig.",das,"Das Problem, das wir lösen müssen, ist schwierig.",Neutral,Accusative,,,
581,14,"Die Aufgabe, _____ er bekommen hat, ist einfach.",die,"Die Aufgabe, die er bekommen hat, ist einfach.",Feminine,Accusative,,,
582,14,"Der Computer, _____ neu ist, funktioniert gut.",der,"Der Computer, der neu ist, funktioniert gut.",Masculine,Nominative,,,
583,14,"Die Musik, _____ ich höre, ist entspannend.",die,"Die Musik, die ich höre, ist entspannend.",Feminine,Accusative,,,
584,14,"Das Essen, _____ gut schmeckt, ist teuer.",das,"Das Essen, das gut schmeckt, ist teuer.",Neutral,Nominative,,,
585,14,"Die Leute, _____ hier wohnen, sind nett.",die,"Die Leute, die hier wohnen, sind nett.",Feminine,Nominative,,,
586,14,"Der Zug, _____ Verspätung hat, kommt bald an.",der,"Der Zug, der Verspätung hat, kommt bald an.",Masculine,Nominative,,,
587,14,"Das Hotel, _____ wir gebucht haben, ist modern.",das,"Das Hotel, das wir gebucht haben, ist modern.",Neutral,Accusative,,,
588,14,"Die Sprache, _____ ich lerne, ist schwer.",die,"Die Sprache, die ich lerne, ist schwer.",Feminine,Accusative,,,
589,14,"Der Sport, _____ ich mache, ist gesund.",den,"Der Sport, den ich mache, ist gesund.",Masculine,Accusative,,,
590,14,"Die Arbeit, _____ er sucht, ist interessant.",die,"Die Arbeit, die er sucht, ist interessant.",Feminine,Accusative,,,
591,14,"Das Wetter, _____ heute ist, ist schön.",das,"Das Wetter, das heute ist, ist schön.",Neutral,Nominative,,,
592,14,"Die Ferien, _____ wir hatten, waren toll.",die,"Die Ferien, die wir hatten, waren toll.",Feminine,Accusative,,,
593,14,"Der Urlaub, _____ sie macht, ist lang.",den,"Der Urlaub, den sie macht, ist lang.",Masculine,Accusative,,,
594,14,"Das Geschenk, _____ ich bekommen habe, ist schön.",das,"Das Geschenk, das ich bekommen habe, ist schön.",Neutral,Accusative,,,
595,14,"Die Party, _____ wir gefeiert haben, war lustig.",die,"Die Party, die wir gefeiert haben, war lustig.",Feminine,Accusative,,,
596,14,"Das ist das Buch, _____ ich gelesen habe.",das,"Das ist das Buch, das ich gelesen habe.",Neutral,Accusative,,,
597,14,"Die Reise, _____ wir gebucht haben, war schön.",die,"Die Reise, die wir gebucht haben, war schön.",Feminine,Accusative,,,
598,14,"Der Film, _____ wir gesehen haben, war spannend.",den,"Der Film, den wir gesehen haben, war spannend.",Masculine,Accusative,,,
599,14,"Die Wohnung, _____ wir suchen, ist groß.",die,"Die Wohnung, die wir suchen, ist groß.",Feminine,Accusative,,,
600,14,"Das Problem, _____ wir besprochen haben, ist gelöst.",das,"Das Problem, das wir besprochen haben, ist gelöst.",Neutral,Accusative,,,
601,14,"Die Aufgabe, _____ er erledigt hat, war schwierig.",die,"Die Aufgabe, die er erledigt hat, war schwierig.",Feminine,Accusative,,,
602,14,"Der Computer, _____ ich gekauft habe, ist schnell.",den,"Der Computer, den ich gekauft habe, ist schnell.",Masculine,Accusative,,,
603,14,"Die Musik, _____ du hörst, gefällt mir.",die,"Die Musik, die du hörst, gefällt mir.",Feminine,Accusative,,,
604,14,"Das Essen, _____ wir bestellt haben, ist lecker.",das,"Das Essen, das wir bestellt haben, ist lecker.",Neutral,Accusative,,,
605,14,"Die Leute, _____ ich getroffen habe, waren freundlich.",die,"Die Leute, die ich getroffen habe, waren freundlich.",Feminine,Accusative,,,
606,14,"Der Zug, _____ wir verpasst haben, fährt später.",den,"Der Zug, den wir verpasst haben, fährt später.",Masculine,Accusative,,,
607,14,"Das Hotel, _____ sie gefunden haben, ist billig.",das,"Das Hotel, das sie gefunden haben, ist billig.",Neutral,Accusative,,,
608,14,"Die Sprache, _____ er spricht, ist fließend.",die,"Die Sprache, die er spricht, ist fließend.",Feminine,Accusative,,,
609,14,"Der Sport, _____ du magst, ist interessant.",den,"Der Sport, den du magst, ist interessant.",Masculine,Accusative,,,
610,14,"Die Arbeit, _____ sie gefunden hat, ist gut bezahlt.",die,"Die Arbeit, die sie gefunden hat, ist gut bezahlt.",Feminine,Accusative,,,
611,14,"Das Wetter, _____ wir hatten, war schlecht.",das,"Das Wetter, das wir hatten, war schlecht.",Neutral,Accusative,,,
612,14,"Die Ferien, _____ sie geplant haben, sind kurz.",die,"Die Ferien, die sie geplant haben, sind kurz.",Feminine,Accusative,,,
613,14,"Der Urlaub, _____ er macht, ist erholsam.",den,"Der Urlaub, den er macht, ist erholsam.",Masculine,Accusative,,,
614,14,"Das Geschenk, _____ du bekommen hast, ist nützlich.",das,"Das Geschenk, das du bekommen hast, ist nützlich.",Neutral,Accusative,,,
615,14,"Die Party, _____ sie organisiert haben, war super.",die,"Die Party, die sie organisiert haben, war super.",Feminine,Accusative,,,
616,14,"Das ist der Mann, _____ ich geholfen habe.",dem,"Das ist der Mann, dem ich geholfen habe.",Neutral,Dative,,,
617,14,"Die Frau, _____ ich das Buch gegeben habe, ist nett.",der,"Die Frau, der ich das Buch gegeben habe, ist nett.",Feminine,Dative,,,
618,14,"Das Kind, _____ wir gratuliert haben, hat sich gefreut.",dem,"Das Kind, dem wir gratuliert haben, hat sich gefreut.",Neutral,Dative,,,
619,14,"Die Firma, _____ wir die Rechnung geschickt haben, ist groß.",der,"Die Firma, der wir die Rechnung geschickt haben, ist groß.",Feminine,Dative,,,
620,14,"Der Freund, _____ ich vertraue, kann ich alles erzählen.",dem,"Der Freund, dem ich vertraue, kann ich alles erzählen.",Masculine,Dative,,,
621,14,"Die Kollegin, _____ ich die Nachricht geschickt habe, arbeitet im Büro.",der,"Die Kollegin, der ich die Nachricht geschickt habe, arbeitet im Büro.",Feminine,Dative,,,
622,14,"Der Lehrer, _____ wir zuhören, ist erfahren.",dem,"Der Lehrer, dem wir zuhören, ist erfahren.",Masculine,Dative,,,
623,14,"Die Familie, _____ wir einen Besuch abgestattet haben, geht es gut.",der,"Die Familie, der wir einen Besuch abgestattet haben, geht es gut.",Feminine,Dative,,,
624,14,"Der Stuhl, _____ du sitzt, ist bequem.",auf dem,"Der Stuhl, auf dem du sitzt, ist bequem.",Masculine,Dative,,,
625,14,"Das Fenster, _____ es zieht, ist undicht.",aus dem,"Das Fenster, aus dem es zieht, ist undicht.",Neutral,Dative,,,
626,14,"Der Baum, _____ viele Vögel nisten, ist alt.",in dem,"Der Baum, in dem viele Vögel nisten, ist alt.",Masculine,Dative,,,
627,14,"Die Lampe, _____ ich eine neue Birne eingesetzt habe, leuchtet wieder.",in die,"Die Lampe, in die ich eine neue Birne eingesetzt habe, leuchtet wieder.",Feminine,Accusative,,,
628,14,"Der Tisch, _____ wir uns setzen, ist gedeckt.",an den,"Der Tisch, an den wir uns setzen, ist gedeckt.",Masculine,Accusative,,,
629,14,"Der Chef, _____ ich die Idee vorgestellt habe,  hat sie gemocht.",dem,"Der Chef, dem ich die Idee vorgestellt habe, hat sie gemocht.",Masculine,Dative,,,
630,14,"Die Kinder, _____ wir Geschenke gegeben haben, haben sich gefreut.",denen,"Die Kinder, denen wir Geschenke gegeben haben, haben sich gefreut.",Plural,Dative,,,
631,14,"Das Projekt, _____ wir arbeiten, ist wichtig.",an dem,"Das Projekt, an dem wir arbeiten, ist wichtig.",Neutral,Dative,,,
632,14,"Das Problem, _____ wir uns beschäftigen, ist kompliziert.",mit dem,"Das Problem, mit dem wir uns beschäftigen, ist kompliziert.",Neutral,Dative,,,
633,14,"Der Computer, _____ ich arbeite, ist neu.",mit dem,"Der Computer, mit dem ich arbeite, ist neu.",Masculine,Dative,,,
634,14,"Das Auto, _____ er fährt, ist schnell.",mit dem,"Das Auto, mit dem er fährt, ist schnell.",Neutral,Dative,,,
635,14,"Der Zug, _____ wir fahren, ist pünktlich.",mit dem,"Der Zug, mit dem wir fahren, ist pünktlich.",Masculine,Dative,,,
636,14,"Das Hotel, _____ wir übernachtet haben, war komfortabel.",in dem,"Das Hotel, in dem wir übernachtet haben, war komfortabel.",Neutral,Dative,,,
637,14,"Die Stadt, _____ ich wohne, gefällt mir gut.",in der,"Die Stadt, in der ich wohne, gefällt mir gut.",Feminine,Dative,,,
638,14,"Das Land, _____ er lebt, ist schön.",in dem,"Das Land, in dem er lebt, ist schön.",Neutral,Dative,,,
639,14,"Der Urlaub, _____ sie erzählt hat, war interessant.",von dem,"Der Urlaub, von dem sie erzählt hat, war interessant.",Masculine,Dative,,,
640,14,"Die Party, _____ wir waren, war lustig.",auf der,"Die Party, auf der wir waren, war lustig.",Feminine,Dative,,,
641,14,"Das ist das Haus, _____ Dach rot ist.",dessen,"Das ist das Haus, dessen Dach rot ist.",Neutral,Genitive,,,
642,14,"Die Firma, _____ Produkte bekannt sind, ist erfolgreich.",deren,"Die Firma, deren Produkte bekannt sind, ist erfolgreich.",Feminine,Genitive,,,
643,14,"Der Mann, _____ Auto kaputt ist, ist traurig.",dessen,"Der Mann, dessen Auto kaputt ist, ist traurig.",Masculine,Genitive,,,
644,14,"Die Frau, _____ Kinder spielen, ist glücklich.",deren,"Die Frau, deren Kinder spielen, ist glücklich.",Feminine,Genitive,,,
645,14,"Das Buch, _____ Inhalt spannend ist, gefällt mir.",dessen,"Das Buch, dessen Inhalt spannend ist, gefällt mir.",Neutral,Genitive,,,
646,14,"Der Tisch, _____ Beine wackeln, ist instabil.",dessen,"Der Tisch, dessen Beine wackeln, ist instabil.",Masculine,Genitive,,,
647,14,"Die Tür, _____ Farbe blau ist, gefällt mir.",deren,"Die Tür, deren Farbe blau ist, gefällt mir.",Feminine,Genitive,,,
648,14,"Das Fenster, _____ Scheibe sauber ist, ist neu.",dessen,"Das Fenster, dessen Scheibe sauber ist, ist neu.",Neutral,Genitive,,,
649,14,"Der Computer, _____ Software aktuell ist, funktioniert gut.",dessen,"Der Computer, dessen Software aktuell ist, funktioniert gut.",Masculine,Genitive,,,
650,14,"Die Reise, _____ Ziel Italien ist, ist teuer.",deren,"Die Reise, deren Ziel Italien ist, ist teuer.",Feminine,Genitive,,,
651,14,"Der Urlaub, _____ Dauer zwei Wochen beträgt, ist lang.",dessen,"Der Urlaub, dessen Dauer zwei Wochen beträgt, ist lang.",Masculine,Genitive,,,
652,14,"Das Hotel, _____ Zimmer modern sind, ist komfortabel.",dessen,"Das Hotel, dessen Zimmer modern sind, ist komfortabel.",Neutral,Genitive,,,
653,14,"Die Stadt, _____ Einwohner freundlich sind, gefällt mir.",deren,"Die Stadt, deren Einwohner freundlich sind, gefällt mir.",Feminine,Genitive,,,
654,14,"Das Land, _____ Landschaft schön ist, besuche ich gerne.",dessen,"Das Land, dessen Landschaft schön ist, besuche ich gerne.",Neutral,Genitive,,,
655,14,"Die Musik, _____ Melodie eingängig ist, gefällt vielen.",deren,"Die Musik, deren Melodie eingängig ist, gefällt vielen.",Feminine,Genitive,,,
656,14,"Der Sport, _____ Regeln kompliziert sind, ist schwer zu verstehen.",dessen,"Der Sport, dessen Regeln kompliziert sind, ist schwer zu verstehen.",Masculine,Genitive,,,
657,14,"Die Arbeit, _____ Arbeitszeiten flexibel sind, ist attraktiv.",deren,"Die Arbeit, deren Arbeitszeiten flexibel sind, ist attraktiv.",Feminine,Genitive,,,
658,14,"Das Wetter, _____ Vorhersage schlecht ist, stört mich.",dessen,"Das Wetter, dessen Vorhersage schlecht ist, stört mich.",Neutral,Genitive,,,
659,14,"Die Ferien, _____ Beginn bald ist, freut mich.",deren,"Die Ferien, deren Beginn bald ist, freut mich.",Feminine,Genitive,,,
660,14,"Das Geschenk, _____ Verpackung schön ist, gefällt mir.",dessen,"Das Geschenk, dessen Verpackung schön ist, gefällt mir.",Neutral,Genitive,,,
661,14,"Die Party, _____ Musik gut war, hat mir gefallen.",deren,"Die Party, deren Musik gut war, hat mir gefallen.",Feminine,Genitive,,,
662,100,"Das ist das Dorf, _____ ich geboren wurde.",wo,"Das ist das Dorf, wo ich geboren wurde.",,,,in dem,"Das ist das Dorf, in dem ich geboren wurde."
663,100,"Das ist der Park, _____ die Kinder spielen.",wo,"Das ist der Park, wo die Kinder spielen.",,,,in dem,"Das ist der Park, in dem die Kinder spielen."
664,100,"Die Stadt, _____ ich meinen Urlaub verbracht habe, war wunderschön.",wo,"Die Stadt, wo ich meinen Urlaub verbracht habe, war wunderschön.",,,,in die,"Die Stadt, in die ich meinen Urlaub verbracht habe, war wunderschön."
665,100,"Das Café, _____ wir unseren ersten Kaffee getrunken haben, war gemütlich.",wo,"Das Café, wo wir unseren ersten Kaffee getrunken haben, war gemütlich.",,,,in das,"Das Café, in das wir unseren ersten Kaffee getrunken haben, war gemütlich."
666,100,"Das Hotel, _____ wir übernachtet haben, hatte ein tolles Frühstück.",wo,"Das Hotel, wo wir übernachtet haben, hatte ein tolles Frühstück.",,,,in dem,"Das Hotel, in dem wir übernachtet haben, hatte ein tolles Frühstück."
667,100,"Die Wohnung, _____ ich seit drei Jahren wohne, ist sehr ruhig.",wo,"Die Wohnung, wo ich seit drei Jahren wohne, ist sehr ruhig.",,,,in der,"Die Wohnung, in der ich seit drei Jahren wohne, ist sehr ruhig."
668,100,"Die Straße, _____ Name der berühmte Schriftsteller erwähnt wird, ist in der Altstadt.",wo,"Die Straße, wo der Name des berühmten Schriftstellers erwähnt wird, ist in der Altstadt.",,,,in deren,"Die Straße, in deren Name der berühmte Schriftsteller erwähnt wird, ist in der Altstadt."
669,100,"Der Raum, _____ Decke repariert werden muss, ist geschlossen.",wo,"Der Raum, wo die Decke repariert werden muss, ist geschlossen.",,,,in dessen,"Der Raum, in dessen Decke repariert werden muss, ist geschlossen."
670,100,"Das ist das Dorf, _____ ich gezogen bin.",wohin,"Das ist das Dorf, wohin ich gezogen bin.",,,,in das,"Das ist das Dorf, in das ich gezogen bin."
671,100,"Das ist der Park, _____ die Kinder laufen.",wohin,"Das ist der Park, wohin die Kinder laufen.",,,,in den,"Das ist der Park, in den die Kinder laufen."
672,100,"Die Stadt, _____ ich meinen Freund eingeladen habe, ist wunderschön.",wohin,"Die Stadt, wohin ich meinen Freund eingeladen habe, ist wunderschön.",,,,in die,"Die Stadt, in die ich meinen Freund eingeladen habe, ist wunderschön."
673,100,"Das Café, _____ wir später gehen wollen, liegt in der Altstadt.",wohin,"Das Café, wohin wir später gehen wollen, liegt in der Altstadt.",,,,in das,"Das Café, in das wir später gehen wollen, liegt in der Altstadt."
674,100,"Das Hotel, _____ wir unsere Koffer gebracht haben, ist sehr luxuriös.",wohin,"Das Hotel, wohin wir unsere Koffer gebracht haben, ist sehr luxuriös.",,,,in das,"Das Hotel, in das wir unsere Koffer gebracht haben, ist sehr luxuriös."
675,100,"Die Wohnung, _____ ich meine Bücher gebracht habe, ist neu renoviert.",wohin,"Die Wohnung, wohin ich meine Bücher gebracht habe, ist neu renoviert.",,,,in die,"Die Wohnung, in die ich meine Bücher gebracht habe, ist neu renoviert."
676,100,"Die Straße, _____ die Besucher kommen, ist sehr belebt.",wohin,"Die Straße, wohin die Besucher kommen, ist sehr belebt.",,,,in die,"Die Straße, in die die Besucher kommen, ist sehr belebt."
677,100,"Der Raum, _____ die Möbel geliefert werden, ist leer.",wohin,"Der Raum, wohin die Möbel geliefert werden, ist leer.",,,,in den,"Der Raum, in den die Möbel geliefert werden, ist leer."
678,100,"Das ist das Dorf, _____ ich komme.",woher,"Das ist das Dorf, woher ich komme.",,,,aus dem,"Das ist das Dorf, aus dem ich komme."
679,100,"Das ist der Park, _____ die Geräusche kommen.",woher,"Das ist der Park, woher die Geräusche kommen.",,,,aus dem,"Das ist der Park, aus dem die Geräusche kommen."
680,100,"Die Stadt, _____ ich meinen Freund kenne, ist weit entfernt.",woher,"Die Stadt, woher ich meinen Freund kenne, ist weit entfernt.",,,,aus der,"Die Stadt, aus der ich meinen Freund kenne, ist weit entfernt."
681,100,"Das Café, _____ wir unseren Kaffee bestellen, ist sehr beliebt.",woher,"Das Café, woher wir unseren Kaffee bestellen, ist sehr beliebt.",,,,aus dem,"Das Café, aus dem wir unseren Kaffee bestellen, ist sehr beliebt."
682,100,"Das Hotel, _____ die Gäste immer zufrieden abreisen, ist sehr renommiert.",woher,"Das Hotel, woher die Gäste immer zufrieden abreisen, ist sehr renommiert.",,,,aus dem,"Das Hotel, aus dem die Gäste immer zufrieden abreisen, ist sehr renommiert."
683,100,"Die Wohnung, _____ ich ausgezogen bin, war zu klein.",woher,"Die Wohnung, woher ich ausgezogen bin, war zu klein.",,,,aus der,"Die Wohnung, aus der ich ausgezogen bin, war zu klein."
684,100,"Die Straße, _____ die alten Geschichten stammen, ist sehr bekannt.",woher,"Die Straße, woher die alten Geschichten stammen, ist sehr bekannt.",,,,aus der,"Die Straße, aus der die alten Geschichten stammen, ist sehr bekannt."
685,100,"Der Raum, _____ die seltsamen Geräusche kommen, ist verschlossen.",woher,"Der Raum, woher die seltsamen Geräusche kommen, ist verschlossen.",,,,aus dem,"Der Raum, aus dem die seltsamen Geräusche kommen, ist verschlossen."
686,100,"Paris, _____ man den Eiffelturm besichtigen kann, ist eine wunderschöne Stadt.",wo,"Paris, wo man den Eiffelturm besichtigen kann, ist eine wunderschöne Stadt.",,,,,
687,100,"Berlin, _____ die Geschichte der Mauer lebendig bleibt, ist die Hauptstadt Deutschlands.",wo,"Berlin, wo die Geschichte der Mauer lebendig bleibt, ist die Hauptstadt Deutschlands.",,,,,
688,100,"Deutschland, _____ viele Weihnachtsmärkte stattfinden, ist im Winter sehr beliebt.",wo,"Deutschland, wo viele Weihnachtsmärkte stattfinden, ist im Winter sehr beliebt.",,,,,
689,100,"Italien, _____ die beste Pizza gemacht wird, hat eine reiche kulinarische Tradition.",wo,"Italien, wo die beste Pizza gemacht wird, hat eine reiche kulinarische Tradition.",,,,,
690,100,"Frankreich, _____ viele Touristen im Sommer reisen, ist ein beliebtes Urlaubsziel.",wohin,"Frankreich, wohin viele Touristen im Sommer reisen, ist ein beliebtes Urlaubsziel.",,,,,
691,100,"Spanien, _____ wir diesen Winter fahren wollen, hat eine angenehme Atmosphäre.",wohin,"Spanien, wohin wir diesen Winter fahren wollen, hat eine angenehme Atmosphäre.",,,,,
692,100,"München, _____ viele Menschen für das Oktoberfest kommen, ist bekannt für Bier und Brezeln.",wohin,"München, wohin viele Menschen für das Oktoberfest kommen, ist bekannt für Bier und Brezeln.",,,,,
693,100,"Österreich, _____ wir jedes Jahr zum Skifahren fahren, bietet tolle Pisten.",wohin,"Österreich, wohin wir jedes Jahr zum Skifahren fahren, bietet tolle Pisten.",,,,,
694,100,"Rom, _____ viele berühmte Künstler stammen, ist ein Zentrum der Kunstgeschichte.",woher,"Rom, woher viele berühmte Künstler stammen, ist ein Zentrum der Kunstgeschichte.",,,,,
695,100,"Japan, _____ die besten Sushi-Rezepte kommen, ist weltweit für seine Küche bekannt.",woher,"Japan, woher die besten Sushi-Rezepte kommen, ist weltweit für seine Küche bekannt.",,,,,
696,100,"Wien, _____ die klassischen Walzer ihren Ursprung haben, ist die Hauptstadt der Musik.",woher,"Wien, woher die klassischen Walzer ihren Ursprung haben, ist die Hauptstadt der Musik.",,,,,
697,100,"Indien, _____ der beste Tee importiert wird, ist ein Land mit langer Teetradition.",woher,"Indien, woher der beste Tee importiert wird, ist ein Land mit langer Teetradition.",,,,,